Unnamed: 0,Sector,Industry,Stock Count,Percentage of Sector,Market Weight,Log Weight,Sqrt Weight,Size Category,Size Score,Composite Weight
67,Healthcare,Biotechnology,546,55.54425229,0.113395639,0.01502159,0.033704865,Very Large,1,0.016918024
15,Financial Services,Asset Management,370,36.56126482,0.076843198,0.014096515,0.027745793,Very Large,1,0.016197594
16,Financial Services,Banks - Regional,365,36.06719368,0.075804777,0.014064185,0.027557683,Very Large,1,0.016177039
115,Technology,Software - Application,194,30.69620253,0.040290758,0.012563959,0.020090796,Very Large,1,0.015468351
66,Healthcare,Medical Devices,129,13.12309257,0.026791277,0.011597858,0.016382913,Very Large,1,0.015193224
114,Technology,Software - Infrastructure,119,18.82911392,0.024714434,0.011407141,0.015735109,Very Large,1,0.015150286
0,Unknown,Unknown,92,100,0.019106957,0.01079981,0.013835351,Large,0.8,0.01213166
70,Healthcare,Drug Manufacturers - Specialty & Generic,74,7.527975585,0.01536864,0.010287265,0.012408296,Large,0.8,0.012051917
97,Industrials,Specialty Industrial Machinery,62,12.06225681,0.012876428,0.009871834,0.011357745,Large,0.8,0.011997685
133,Energy,Oil & Gas E&P,62,31.15577889,0.012876428,0.009871834,0.011357745,Large,0.8,0.011997685
119,Technology,Semiconductors,60,9.493670886,0.012461059,0.009794966,0.011173054,Large,0.8,0.011988535
141,Communication Services,Internet Content & Information,55,26.69902913,0.011422638,0.009591192,0.010697385,Large,0.8,0.011965494
91,Industrials,Aerospace & Defense,54,10.50583658,0.011214953,0.00954826,0.01059969,Large,0.8,0.011960854
80,Consumer Defensive,Packaged Foods,53,26.3681592,0.011007269,0.009504539,0.010501086,Large,0.8,0.011956203
113,Technology,Information Technology Services,52,8.227848101,0.010799585,0.009460002,0.010401547,Large,0.8,0.011951539
69,Healthcare,Medical Instruments & Supplies,51,5.18819939,0.0105919,0.009414616,0.010301047,Large,0.8,0.011946864
4,Basic Materials,Specialty Chemicals,51,26.42487047,0.0105919,0.009414616,0.010301047,Large,0.8,0.011946864
120,Technology,Communication Equipment,49,7.753164557,0.010176532,0.009321164,0.010097046,Medium,0.6,0.00903612
73,Healthcare,Diagnostics & Research,49,4.98474059,0.010176532,0.009321164,0.010097046,Medium,0.6,0.00903612
27,Financial Services,Capital Markets,49,4.841897233,0.010176532,0.009321164,0.010097046,Medium,0.6,0.00903612
131,Energy,Oil & Gas Equipment & Services,46,23.11557789,0.009553479,0.009173734,0.009783071,Medium,0.6,0.00902193
140,Communication Services,Telecom Services,46,22.33009709,0.009553479,0.009173734,0.009783071,Medium,0.6,0.00902193
74,Healthcare,Health Information Services,45,4.577822991,0.009345794,0.009122491,0.009676149,Medium,0.6,0.009017169
54,Real Estate,REIT - Mortgage,44,16.92307692,0.00913811,0.009070122,0.009568032,Medium,0.6,0.009012393
68,Healthcare,Medical Care Facilities,44,4.476093591,0.00913811,0.009070122,0.009568032,Medium,0.6,0.009012393
33,Consumer Cyclical,Auto Parts,44,9.544468547,0.00913811,0.009070122,0.009568032,Medium,0.6,0.009012393
18,Financial Services,Insurance - Property & Casualty,43,4.249011858,0.008930426,0.009016576,0.009458679,Medium,0.6,0.009007599
37,Consumer Cyclical,Restaurants,43,9.327548807,0.008930426,0.009016576,0.009458679,Medium,0.6,0.009007599
125,Utilities,Utilities - Regulated Electric,42,40.38461538,0.008722741,0.008961799,0.009348048,Medium,0.6,0.009002787
61,Real Estate,Real Estate Services,42,16.15384615,0.008722741,0.008961799,0.009348048,Medium,0.6,0.009002787
20,Financial Services,Credit Services,42,4.150197628,0.008722741,0.008961799,0.009348048,Medium,0.6,0.009002787
132,Energy,Oil & Gas Midstream,40,20.10050251,0.008307373,0.008848316,0.00912276,Medium,0.6,0.008993107
117,Technology,Electronic Components,39,6.170886076,0.008099688,0.008789481,0.009008004,Medium,0.6,0.008988236
30,Consumer Cyclical,Specialty Retail,38,8.242950108,0.007892004,0.008729156,0.008891767,Medium,0.6,0.008983344
139,Communication Services,Entertainment,35,16.99029126,0.007268951,0.008538439,0.008533561,Medium,0.6,0.008968526
89,Industrials,Engineering & Construction,34,6.614785992,0.007061267,0.008471316,0.00841077,Medium,0.6,0.008963535
55,Real Estate,REIT - Retail,33,12.69230769,0.006853583,0.008402248,0.008286159,Medium,0.6,0.008958516
102,Industrials,Electrical Equipment & Parts,32,6.225680934,0.006645898,0.008331117,0.008159645,Medium,0.6,0.008953467
24,Financial Services,Shell Companies,32,3.162055336,0.006645898,0.008331117,0.008159645,Medium,0.6,0.008953467
142,Communication Services,Advertising Agencies,31,15.04854369,0.006438214,0.008257798,0.008031139,Medium,0.6,0.008948386
99,Industrials,Building Products & Equipment,30,5.836575875,0.00623053,0.00818215,0.007900542,Medium,0.6,0.008943272
34,Consumer Cyclical,Apparel Retail,30,6.507592191,0.00623053,0.00818215,0.007900542,Medium,0.6,0.008943272
38,Consumer Cyclical,Internet Retail,30,6.507592191,0.00623053,0.00818215,0.007900542,Medium,0.6,0.008943272
122,Technology,Semiconductor Equipment & Materials,29,4.588607595,0.006022845,0.008104022,0.007767751,Medium,0.6,0.008938121
121,Technology,Scientific & Technical Instruments,29,4.588607595,0.006022845,0.008104022,0.007767751,Medium,0.6,0.008938121
79,Consumer Defensive,Education & Training Services,29,14.4278607,0.006022845,0.008104022,0.007767751,Medium,0.6,0.008938121
116,Technology,Computer Hardware,27,4.272151899,0.005607477,0.007939633,0.007495113,Medium,0.6,0.008927702
88,Industrials,Specialty Business Services,27,5.252918288,0.005607477,0.007939633,0.007495113,Medium,0.6,0.008927702
44,Consumer Cyclical,"Furnishings, Fixtures & Appliances",27,5.856832972,0.005607477,0.007939633,0.007495113,Medium,0.6,0.008927702
2,Basic Materials,Gold,27,13.98963731,0.005607477,0.007939633,0.007495113,Medium,0.6,0.008927702
94,Industrials,Farm & Heavy Construction Machinery,25,4.86381323,0.005192108,0.007763056,0.007212175,Medium,0.6,0.008917106
60,Real Estate,REIT - Office,24,9.230769231,0.004984424,0.007669605,0.00706646,Medium,0.6,0.008911734
83,Consumer Defensive,Household & Personal Products,24,11.94029851,0.004984424,0.007669605,0.00706646,Medium,0.6,0.008911734
36,Consumer Cyclical,Packaging & Containers,24,5.206073753,0.004984424,0.007669605,0.00706646,Medium,0.6,0.008911734
100,Industrials,Marine Shipping,23,4.474708171,0.004776739,0.007572338,0.006917676,Medium,0.6,0.008906305
31,Consumer Cyclical,Auto & Truck Dealerships,23,4.989154013,0.004776739,0.007572338,0.006917676,Medium,0.6,0.008906305
78,Consumer Defensive,Farm Products,22,10.94527363,0.004569055,0.007470932,0.00676562,Medium,0.6,0.008900817
47,Consumer Cyclical,Leisure,22,4.772234273,0.004569055,0.007470932,0.00676562,Medium,0.6,0.008900817
41,Consumer Cyclical,Residential Construction,22,4.772234273,0.004569055,0.007470932,0.00676562,Medium,0.6,0.008900817
93,Industrials,Rental & Leasing Services,21,4.085603113,0.004361371,0.007365017,0.006610068,Medium,0.6,0.008895264
10,Basic Materials,Other Industrial Metals & Mining,21,10.88082902,0.004361371,0.007365017,0.006610068,Medium,0.6,0.008895264
105,Industrials,Conglomerates,20,3.891050584,0.004153686,0.007254174,0.006450766,Medium,0.6,0.008889639
51,Consumer Cyclical,Apparel Manufacturing,20,4.338394794,0.004153686,0.007254174,0.006450766,Medium,0.6,0.008889639
127,Utilities,Utilities - Renewable,19,18.26923077,0.003946002,0.007137922,0.006287429,Small,0.4,0.005982581
57,Real Estate,REIT - Hotel & Motel,19,7.307692308,0.003946002,0.007137922,0.006287429,Small,0.4,0.005982581
59,Real Estate,REIT - Specialty,19,7.307692308,0.003946002,0.007137922,0.006287429,Small,0.4,0.005982581
58,Real Estate,REIT - Residential,19,7.307692308,0.003946002,0.007137922,0.006287429,Small,0.4,0.005982581
65,Healthcare,Drug Manufacturers - General,19,1.932858596,0.003946002,0.007137922,0.006287429,Small,0.4,0.005982581
48,Consumer Cyclical,Auto Manufacturers,19,4.121475054,0.003946002,0.007137922,0.006287429,Small,0.4,0.005982581
11,Basic Materials,Steel,19,9.844559585,0.003946002,0.007137922,0.006287429,Small,0.4,0.005982581
53,Real Estate,REIT - Diversified,18,6.923076923,0.003738318,0.007015705,0.006119734,Small,0.4,0.005976791
92,Industrials,Security & Protection Services,18,3.501945525,0.003738318,0.007015705,0.006119734,Small,0.4,0.005976791
23,Financial Services,Banks - Diversified,18,1.778656126,0.003738318,0.007015705,0.006119734,Small,0.4,0.005976791
21,Financial Services,Insurance - Specialty,18,1.778656126,0.003738318,0.007015705,0.006119734,Small,0.4,0.005976791
39,Consumer Cyclical,Resorts & Casinos,18,3.904555315,0.003738318,0.007015705,0.006119734,Small,0.4,0.005976791
123,Technology,Solar,17,2.689873418,0.003530633,0.006886879,0.005947312,Small,0.4,0.005970905
63,Real Estate,REIT - Industrial,17,6.538461538,0.003530633,0.006886879,0.005947312,Small,0.4,0.005970905
108,Industrials,Trucking,17,3.307392996,0.003530633,0.006886879,0.005947312,Small,0.4,0.005970905
95,Industrials,Industrial Distribution,17,3.307392996,0.003530633,0.006886879,0.005947312,Small,0.4,0.005970905
143,Communication Services,Broadcasting,17,8.252427184,0.003530633,0.006886879,0.005947312,Small,0.4,0.005970905
6,Basic Materials,Chemicals,17,8.808290155,0.003530633,0.006886879,0.005947312,Small,0.4,0.005970905
